IDPlaça	NomPlaça	IDClassePlaça	IDEscala	IDSubEscala	IDClasse	IDCategoria	CategoriaLaboral	GrupClassificacio	IDTipusAcces	IDSistemaAcces	Pressupostat	Ofertable	OPO_Any	Amortitzar	PromocioInterna	DataCreacio	ExpedientCreacio	DataConvocatoria	DataSupressio	ExpedientSupressio	Observacions
225	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
226	Subaltern/a	2	0	0	0	0		E	2	13	1	Falso		Falso	Falso						
227	Tècnic/a de comunicació	3	0	0	0	0		A2	9	31	0	Falso	0	Verdadero	Falso						
228	Diplomat/da administratiu/va	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
229	Auxiliar administratiu/va	1	2	204	20400	2040000		C2	1	13	1	Falso		Falso	Falso						A amortitzar quan es resolgui la promoció interna a plaça Administrativa.
231	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	2	13	1	Falso		Falso	Falso						
232	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
233	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
234	Agent	1	3	302	30201	3020108		C1	1	13	1	Falso		Falso	Falso						
235	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	2	13	1	Falso		Falso	Falso						
236	Tècnic/a de gestió documental i arxiu	1	3	301	30101	3010101		A1	2	0	0	Falso		Falso	Falso						
237	Tècnic/a mitjà/ana de serveis personals	2	0	0	0	0		A2	1	13	1	Falso		Falso	Falso						
239	Educador/a	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso	30/07/2008					Laboralització de la plaça al Ple de juliol 2008
249	Tècnic/a auxiliar	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso						
251	Sergent	1	3	302	30201	3020106		C1	2	13	1	Falso		Falso	Falso						
266	Auxiliar tècnic/a	1	3	302	30203	3020300		C2	2	13	1	Verdadero	2008	Falso	Falso						
267	Ciències de la informació	1	3	301	30101	3010101		A1	0	0	0	Falso		Falso	Falso						
268	Tècnic/a mitjà/ana de fira, comerç i turisme	2	0	0	0	0		A2	2	13	1	Verdadero	2008	Falso	Falso						
269	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Verdadero	2008	Falso	Falso						
272	Tècnic/a auxiliar	2	0	0	0	0		C1	0	0	0	Falso		Falso	Falso						
273	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Verdadero	2008	Falso	Falso						
275	Diplomat/da en treball social	1	3	301	30102	3010201		A2	2	13	1	Verdadero	2008	Falso	Falso						
276	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Verdadero	2008	Falso	Falso						
277	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Verdadero	2008	Falso	Falso						
279	Administratiu/va	1	2	203	20300	2030000		C1	2	13	1	Falso		Falso	Falso						
280	Tècnic/a auxiliar	2	0	0	0	0		C1	2	13	1	Verdadero	2008	Falso	Falso						
281	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
282	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
283	Agent	1	3	302	30201	3020108		C2	2	13	1	Falso		Falso	Falso						
284	Tècnic/a de l'administració general	1	2	201	20100	2010000		A1	2	13	1	Falso		Falso	Falso	01/01/2008					Creació per amortització lloc personal eventual (Tèc. Habitatge)
